date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2)
2021-10-14,00:05:02,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.5,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.72,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:05:31,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.5,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.72,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.5,0.922,8,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:06:00,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.5,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.72,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.5,0.922,8,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:06:29,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.5,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.5,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:06:58,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.5,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.5,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:07:27,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.5,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:07:56,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.5,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,79,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:08:25,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:08:55,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:09:24,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:09:53,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:10:22,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:10:51,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:11:20,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.51,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:11:49,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:12:18,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:12:47,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,6.10,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:13:17,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.7,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.3,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,5.20,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:13:46,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,5.20,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:14:15,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.596,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,5.20,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:14:46,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.597,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,8.80,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:15:15,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.7,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.597,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.4,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,8.80,76,9,12,ON,OFF,0.0,0.0
2021-10-14,00:15:45,4.22,2.15,4.36,1.88,4.35,1.61,86,88,93,99,99,98,1.82,0.0,0.0,0.0,0.0,0.0,0.0,23.6,34,0,0,OFF,OFF,ON,0,6.6,81,0,0,OFF,OFF,29.4,29.5,3.96,29.4,4.95,9.0,6.0,97.57,38.0,82,4,81,6.5,5,2,1,OFF,OFF,100,100,7.597,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,67,408,3.2,80,6.5,0.922,8.1,66,0.922,2.2,410,96.6,0.8,88.41719,600950,88,0,3.7,4,0,0.556,71,8.52,18.41,10.32,96.5,5.3,2.75689,0,57,0,8.8,0,0,0,0,0.0,0,0.0,0.0,0.0,96.5,0.2,34.09963,56096,82,0,2.1,2,437,2.6,81,5.6,4.372,495,4.4,94,5.3,0.191,419,2.6,70,7.9,0.193,4,7.1,4.7,0.5,0.1,0.2,-19.10,4.30,8.80,76,9,12,ON,OFF,0.0,0.0
